modulo;perfil;medida;color;descripcion;extras;costo;proveedor;precio;ganancia
VENTANA_MODENA;verde;150x150;simil madera;150x150 | simil madera | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;762590;709209;1076029;313439
VENTANA_MODENA;verde;150x150;simil madera;150x150 | simil madera | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;918629;854325;1343043;424414
VENTANA_MODENA;verde;150x150;simil madera;150x150 | simil madera | DVH 4+9+4;DVH 4+9+4;849469;790006;1226485;377016
VENTANA_MODENA;verde;120x110;blanco;120x110 | blanco | 4mm;4mm;160237;149020;231354;71117
VENTANA_MODENA;verde;120x110;blanco;120x110 | blanco | 4mm + Mosquitero;4mm+mosquitero;188887;175665;280380;91493
VENTANA_MODENA;verde;120x110;blanco;120x110 | blanco | 4mm + Premarco;4mm+premarco;213597;198645;289217;75620
VENTANA_MODENA;verde;120x110;blanco;120x110 | blanco | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;213597;198645;289217;75620
VENTANA_MODENA;verde;120x110;blanco;120x110 | blanco | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;242247;225290;338243;95996
VENTANA_MODENA;verde;120x110;blanco;120x110 | blanco | DVH 4+9+4;DVH 4+9+4;270614;251671;390719;120105
VENTANA_MODENA;verde;120x110;negro;120x110 | negro | 4mm;4mm;201510;187404;290945;89435
VENTANA_MODENA;verde;120x110;negro;120x110 | negro | 4mm + Mosquitero;4mm+mosquitero;238755;222042;354679;115924
VENTANA_MODENA;verde;120x110;negro;120x110 | negro | 4mm + Premarco;4mm+premarco;254870;237029;348808;93938
VENTANA_MODENA;verde;120x110;negro;120x110 | negro | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;254870;237029;348808;93938
VENTANA_MODENA;verde;120x110;negro;120x110 | negro | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;292115;271667;412541;120426
VENTANA_MODENA;verde;120x110;negro;120x110 | negro | DVH 4+9+4;DVH 4+9+4;311887;290055;450310;138423
VENTANA_MODENA;verde;120x110;bronce colonial;120x110 | bronce colonial | 4mm;4mm;222146;206596;320740;98594
VENTANA_MODENA;verde;120x110;bronce colonial;120x110 | bronce colonial | 4mm + Mosquitero;4mm+mosquitero;263689;245231;391828;128139
VENTANA_MODENA;verde;120x110;bronce colonial;120x110 | bronce colonial | 4mm + Premarco;4mm+premarco;275506;256221;378602;103096
VENTANA_MODENA;verde;120x110;bronce colonial;120x110 | bronce colonial | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;275506;256221;378602;103096
VENTANA_MODENA;verde;120x110;bronce colonial;120x110 | bronce colonial | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;317049;294856;449691;132642
VENTANA_MODENA;verde;120x110;bronce colonial;120x110 | bronce colonial | DVH 4+9+4;DVH 4+9+4;332523;309246;480105;147582
VENTANA_MODENA;verde;120x110;simil madera;120x110 | simil madera | 4mm;4mm;545447;507266;787530;242083
VENTANA_MODENA;verde;120x110;simil madera;120x110 | simil madera | 4mm + Mosquitero;4mm+mosquitero;654317;608515;973828;319511
VENTANA_MODENA;verde;120x110;simil madera;120x110 | simil madera | 4mm + Premarco;4mm+premarco;598807;556891;845393;246586
VENTANA_MODENA;verde;120x110;simil madera;120x110 | simil madera | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;598807;556891;845393;246586
VENTANA_MODENA;verde;120x110;simil madera;120x110 | simil madera | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;707677;658140;1031691;324014
