modulo;perfil;medida;color;extras;costo;proveedor;precio;ganancia
PATAGONICA_MODENA;papu;200x150;bronce colonial;mosquitero;746519;746519;746519;0
PATAGONICA_MODENA;papu;200x150;bronce colonial;premarco;682627;682627;682627;0
PATAGONICA_MODENA;papu;200x150;bronce colonial;herrajes_blancos;627949;627949;627949;0
PATAGONICA_MODENA;papu;150x110;simil madera;raja;766189;766189;766189;0
PATAGONICA_MODENA;papu;150x110;simil madera;brazo;770189;770189;770189;0
PATAGONICA_MODENA;papu;150x110;simil madera;volcable;770189;770189;770189;0
PATAGONICA_MODENA;papu;150x110;simil madera;oscilobatiente;866189;866189;866189;0
PATAGONICA_MODENA;papu;150x110;simil madera;mosquitero;845990;845990;845990;0
PATAGONICA_MODENA;papu;150x110;simil madera;premarco;826509;826509;826509;0
PATAGONICA_MODENA;papu;150x110;simil madera;herrajes_blancos;802772;802772;802772;0
PATAGONICA_MODENA;papu;200x150;simil madera;raja;1461116;1461116;1461116;0
PATAGONICA_MODENA;papu;200x150;simil madera;brazo;1465116;1465116;1465116;0
PATAGONICA_MODENA;papu;200x150;simil madera;volcable;1465116;1465116;1465116;0
PATAGONICA_MODENA;papu;200x150;simil madera;oscilobatiente;1561116;1561116;1561116;0
PATAGONICA_MODENA;papu;200x150;simil madera;mosquitero;1606208;1606208;1606208;0
PATAGONICA_MODENA;papu;200x150;simil madera;premarco;1542316;1542316;1542316;0
PATAGONICA_MODENA;papu;200x150;simil madera;herrajes_blancos;1530623;1530623;1530623;0
